"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000019186",2491.1846214144,2.10737265509876,0.0809864179449747,26.0213096044153,2.84261238151531e-149,4.96206417317313e-145,"CYP24A1"
"ENSG00000146700",579.771970955685,3.29803918099222,0.141967329121278,23.2309729386739,2.21544214142579e-119,1.93363790103643e-115,"SSC4D"
"ENSG00000142619",667.710515580426,2.76723720055486,0.131044441895689,21.1167842033131,5.57642003043746e-99,3.24473293504388e-95,"PADI3"
"ENSG00000189143",781.057017769351,2.06269738131543,0.117851188978907,17.5025589405348,1.3697455756498e-68,5.97756969213572e-65,"CLDN4"
"ENSG00000185585",513.260444612863,2.30638878534267,0.145721122827794,15.8274156867995,2.01321663630576e-56,7.02854192067068e-53,"OLFML2A"
"ENSG00000243649",2483.42162111235,1.35635267440264,0.0919764283049105,14.7467421751387,3.22878826218749e-49,9.39362131745746e-46,"CFB"
"ENSG00000121753",570.057170171363,1.84050630507876,0.132534668129673,13.8869801467945,7.59714377048112e-44,1.89451059510741e-40,"ADGRB2"
"ENSG00000130513",6308.53251197691,1.15963322562226,0.0856137503337746,13.5449413336211,8.48816869220861e-42,1.85211840863992e-38,"GDF15"
"ENSG00000115009",496.453809546918,2.29054974134157,0.177337151925093,12.9163557465336,3.6397613936809e-38,7.05951943201042e-35,"CCL20"
"ENSG00000111667",2898.9931721593,-0.902515061557765,0.0744804955933907,-12.1174685314239,8.53549793441499e-34,1.48995651943148e-30,"USP5"
"ENSG00000189060",7056.97455651114,0.90565647885066,0.0759169499776464,11.9295688132536,8.30023030806611e-33,1.31717109325093e-29,"H1-0"
"ENSG00000035862",11929.6089954528,0.780284808697989,0.0671493686581066,11.6201361872937,3.25616790618614e-31,4.73663891419877e-28,"TIMP2"
"ENSG00000066056",160.768711640535,2.41924408196398,0.20968799460486,11.5373514183434,8.55179760310913e-31,1.1483090689221e-27,"TIE1"
"ENSG00000104833",481.933830915163,1.71726783291825,0.149925771755725,11.4541203477425,2.24228037446399e-30,2.79580330118882e-27,"TUBB4A"
"ENSG00000171345",1135.22520400283,1.17146653641486,0.102692162011734,11.4075554888114,3.83351546171175e-30,4.46118972664269e-27,"KRT19"
"ENSG00000169136",1265.23946801037,-1.01429259996843,0.090096562752857,-11.2578390226798,2.11890954613885e-29,2.31173031483748e-26,"ATF5"
"ENSG00000169093",536.726113691805,1.52423679458475,0.135464954554323,11.2518901999374,2.26681396919678e-29,2.32761792037053e-26,"ASMTL"
"ENSG00000260604",166.069662331522,2.35962706960535,0.212494242883395,11.1044282310283,1.19378932986357e-28,1.15771036344992e-25,NA
"ENSG00000134057",3512.48136388525,-0.770388980348436,0.0708292751540436,-10.8767028700061,1.48850022040231e-27,1.36753999196541e-24,"CCNB1"
"ENSG00000169403",394.312652140085,1.57593704988452,0.145330920746187,10.8437835650736,2.13456427225883e-27,1.86304769682751e-24,"PTAFR"
"ENSG00000130635",404.438395465455,1.66460380737828,0.153714922611485,10.8291620559546,2.50436535667749e-27,2.08172388886487e-24,"COL5A1"
"ENSG00000088305",1674.10309166594,0.942375623524486,0.0872094268169717,10.8058917243232,3.22805139794449e-27,2.56131205465996e-24,"DNMT3B"
"ENSG00000126067",5302.7746206159,-0.854772410780469,0.0793095080534614,-10.777678890711,4.38818948726801e-27,3.33044502998915e-24,"PSMB2"
"ENSG00000006283",618.602520607703,1.25995366936448,0.117202826076453,10.7501987071762,5.91340877227899e-27,4.30101931370425e-24,"CACNA1G"
"ENSG00000188505",211.686139964275,2.00888267642659,0.18767662375752,10.703957883546,9.75217356728923e-27,6.80935767162403e-24,"NCCRP1"
"ENSG00000052344",278.926026967091,1.95558682948379,0.183400555710333,10.6629275026434,1.51744326486222e-26,1.0187880627475e-23,"PRSS8"
"ENSG00000243566",664.453049870722,1.47118201427586,0.13810007351791,10.6530139832624,1.68809269173055e-26,1.09138318617957e-23,"UPK3B"
"ENSG00000143320",662.167737753643,1.27080001906869,0.119968909621758,10.5927445958733,3.22009520062101e-26,2.00749935078716e-23,"CRABP2"
"ENSG00000123384",4895.79882915477,0.894277726969443,0.0845875010306994,10.5722206717619,4.00887733586308e-26,2.41306768189055e-23,"LRP1"
"ENSG00000182551",1126.91266250153,-0.946123443306093,0.0896986830740881,-10.5477963653561,5.20024266427783e-26,3.02584786492113e-23,"ADI1"
"ENSG00000102854",143.739528379111,2.29253693182918,0.21901218503749,10.4676227554953,1.21659853709892e-25,6.85062711728993e-23,"MSLN"
"ENSG00000130600",184.963019773879,2.18883341669636,0.21015521137453,10.4153182896593,2.11090293351013e-25,1.15149755022978e-22,"H19"
"ENSG00000178685",1171.64372858882,-1.09712895985668,0.105628608381848,-10.386664907016,2.85150100876128e-25,1.50835762451324e-22,"PARP10"
"ENSG00000136930",4507.62994547889,-0.702923918440139,0.067820345855347,-10.3644991716703,3.59637468329931e-25,1.84642107269626e-22,"PSMB7"
"ENSG00000079337",5062.68008241797,-0.815797833641103,0.0789097054407328,-10.3383712951993,4.72499431184977e-25,2.3565571630757e-22,"RAPGEF3"
"ENSG00000070729",206.921276325307,2.82413300422179,0.277506499384275,10.1768175177443,2.51657359389599e-24,1.22025857375135e-21,"CNGB1"
"ENSG00000261150",360.17620766805,1.66195876785643,0.164032050111411,10.1319148710732,3.98762706347986e-24,1.88129778432715e-21,"EPPK1"
"ENSG00000105974",6579.37662386022,-0.730091328239787,0.0729883905287586,-10.0028418622564,1.48085226820726e-23,6.80256768258576e-21,"CAV1"
"ENSG00000119403",1872.1863761089,-0.900952524922814,0.0902850890814895,-9.97897364989729,1.88405477521666e-23,8.43283593748259e-21,"PHF19"
"ENSG00000106366",11726.7606772944,0.923004280959828,0.0925956520553499,9.96811686587717,2.101758915991e-23,9.17207590938471e-21,"SERPINE1"
"ENSG00000147872",5799.49845235637,0.763448413561521,0.0772171448041212,9.88703241356801,4.73866880475084e-23,2.01751713794465e-20,"PLIN2"
"ENSG00000152527",531.177715391403,1.42075951987936,0.14393357667301,9.87093875327681,5.56414080003022e-23,2.31256290012684e-20,"PLEKHH2"
"ENSG00000105290",181.81291306787,2.1540487017877,0.218849904242627,9.84258462091726,7.37903405480115e-23,2.995544615363e-20,"APLP1"
"ENSG00000142507",1975.15226239917,-0.825819758064009,0.0847265955890569,-9.74687761643842,1.90229211738427e-22,7.5469116366045e-20,"PSMB6"
"ENSG00000130176",185.737684168871,1.79882390549833,0.18597278763031,9.672511384161,3.94574372242956e-22,1.53059783152734e-19,"CNN1"
"ENSG00000011028",3951.35316906122,0.845971251441156,0.0876502754146755,9.65166677958337,4.83631624952445e-22,1.83527687938476e-19,"MRC2"
"ENSG00000132434",613.120221154975,-1.31632693501958,0.136961358695185,-9.61093659963709,7.18920287967216e-22,2.67010054186292e-19,"LANCL2"
