"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008380","GO:0008380","RNA splicing","144/3292","478/18870",4.05086572430856e-12,2.53219616426528e-08,2.07233762317259e-08,"RBM3/AHNAK2/HNRNPM/SF3A1/RBM8A/HNRNPA1/RBM19/AHNAK/ALYREF/HNRNPA2B1/DCPS/HNRNPA3/PPP2R1A/USB1/WDR77/NCL/HNRNPL/KDM1A/HNRNPH1/RBM42/HNRNPH3/DHX38/TTF2/ESRP1/YJU2/FUS/PTBP1/U2AF2/SNRPA1/RBM5/TSSC4/SNRPF/CDK12/DDX39A/PUF60/TAF6L/DDX41/HNRNPC/SNRPA/MFAP1/MBNL1/RBM20/PRX/PRPF19/SNRPC/DHX16/KHDRBS1/SRSF3/SF3B4/PRMT1/DDX23/RTCB/MTREX/RPS26/PRPF6/HABP4/DYRK1A/PRPF31/MAGOH/RBM48/LSM5/PRDX6/SRSF6/CWF19L1/CD2BP2/TADA2B/ZPR1/SNRNP40/XAB2/SCAF1/PRMT5/EFTUD2/RBM22/YBX1/PPP2CA/PQBP1/IK/PPIH/RBM28/PRPF38A/HSPA8/C9orf78/TFIP11/POLR2A/SYNCRIP/CACTIN/LSM6/PIK3R1/CCAR2/ATXN7/MAGOHB/ZMAT2/SON/SF3B3/ZMAT5/METTL3/TAF5L/VIRMA/ERN1/PHF5A/RPUSD4/PPP1R8/LSM3/SRSF2/SNRPB2/NRDE2/SART1/RNPC3/BUD13/U2AF1/DDX1/SNRNP200/AAR2/RBM15/SFSWAP/ZC3H13/ENY2/LSM7/PUS1/TAF9/PLRG1/PPIL1/ZC3H10/SCAF11/ZNF830/RBFOX2/PCBP4/KHSRP/HTATSF1/RSRC1/FAM98A/PRPF40B/GEMIN5/RBM12/FAM50A/DDX20/CWC15/HSPA1A/CIRBP/PPP4R2/LARP7/SFPQ/COIL/RBM39",144
"GO:0016032","GO:0016032","viral process","130/3292","432/18870",4.9092340351303e-11,1.53438109767998e-07,1.25573039003859e-07,"PARP10/CAV1/VCP/HCFC1/MGAT5/PHB1/GSN/HSP90AB1/NPC1/ATG16L2/NRP1/TNF/TPCN1/MX1/RAN/MDFIC/ICAM1/PSMC3/OAS2/BANF1/OAS1/HMGA2/MON1B/IFIH1/RSAD2/HDAC1/DDX56/LAMTOR5/EGFR/MAVS/HMGB1/PAIP1/KPNA2/ITGB6/APOE/CHMP3/ST6GALNAC3/EIF2AK4/CXCL8/CAV2/PTBP1/CHMP6/ARK2N/ITGB5/EIF3F/NOTCH1/CSDE1/GFI1/CNOT7/PARP9/TRIM21/CTBP1/CFL1/SLC52A2/SMPD1/IGF2R/NECTIN2/PPIA/CTSL/ITGAV/TNFRSF4/PRMT1/USF2/IFI27/MGAT1/TRIM22/ST6GALNAC4/USF1/TRIM8/TRIM14/LRRC15/TRIM28/TARBP2/CTSB/MGAT4C/PC/GAS6/HLA-DRB1/SMARCB1/PDCD6IP/SCARB2/LARP1/BSG/PPIH/IRF7/AKT1/HSPA8/MGAT4A/PCBP1/IFI16/IFIT1/CCL5/ITGA5/CHMP4B/GALNT1/OAS3/EIF3G/DAG1/OASL/DDX6/AXL/ADAR/TRIM27/SCARB1/PLSCR1/CD81/TYRO3/XPR1/CIITA/ITCH/INSR/CCNK/TRIM38/SLC7A1/CHMP4C/EIF3B/NUCKS1/RNASEL/CD74/TMEM41B/TRIM13/CLDN1/SHFL/HPN/HTATSF1/VAPB/ST3GAL2/MPHOSPH8/HSPA1A/LARP7",130
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","135/3292","458/18870",1.00726484559012e-10,1.79761656230013e-07,1.47116107616948e-07,"USP5/PSMB2/NCCRP1/PSMB7/CAV1/PSMB6/ECPAS/VCP/AURKA/CDC20/PSMC1/PSMD11/PLK1/HSP90AB1/PSMC6/PRICKLE1/PSMC4/PEX10/PSMA7/PSMD14/NKD2/PSMD3/OGT/PSMC5/PSMD2/UBE2C/PSMB5/PSMC3/CLU/PSMB3/ZFAND2A/HFE/ARRB2/PSMD13/PSMD1/RBX1/PSMA5/ARRB1/ANAPC1/CUL1/SIRT2/KAT5/FBXO44/NPLOC4/CLGN/WWTR1/HSPBP1/ANAPC7/PSMD12/CUL4A/PSMA1/TRIP12/ADRM1/SKP1/FBXO2/UBR3/PSMB4/BCAP31/NSFL1C/PSMC2/PML/UBE2A/KEAP1/PSMA2/CSNK1E/PBK/AUP1/RNF144A/PSMA6/FBXL18/RNF187/MAN1A1/KLHL22/UBE2H/IFI27/FAM8A1/KIF14/VHL/UBXN11/DERL1/PSMD8/FBXL4/PSMD7/CCDC47/PSMB1/WNT10B/TLK2/PSMD10/MAP1A/FEM1C/CCNF/AKT1/USP14/PSMF1/ANAPC2/KCTD5/COMMD1/PSMD6/CCAR2/TRIM39/CALR/CAMLG/UFD1/HECTD3/RNF4/DDRGK1/ARAF/CSNK1D/PSMA4/SMURF1/ITCH/FBXL3/CRBN/TRIM38/UBQLN1/FBXL19/PPP2CB/TAF9/DERL2/CDC26/LTN1/UBQLN2/PSMA3/FBXO45/TRIM13/UCHL1/DTL/PHF20L1/AGAP3/LRRK2/HECTD1/PSMD4/HSPA1A/FBXO7/CTNNB1",135
"GO:0007059","GO:0007059","chromosome segregation","127/3292","424/18870",1.15029055338354e-10,1.79761656230013e-07,1.47116107616948e-07,"CCNB1/AURKA/CDC20/CDCA8/PLK1/BUB1/PRICKLE1/SPAG5/TERF1/RAN/DUSP1/PMF1/KIF4A/UBE2C/SMARCD1/TUBB/PPP2R1A/TLK1/TOP1/FAM83D/RCC2/ANAPC1/SIRT2/KIF22/KAT5/LZTS2/PTTG1/ANAPC7/MAD1L1/PSRC1/TEX15/CHMP3/KPNB1/CHMP6/GOLGA8G/MAPRE3/CCNB2/CENPT/KIF23/AGO4/CENPN/KIF18B/NUDC/DLGAP5/MAPRE1/NUSAP1/ARID1A/ASPM/STAG1/KLHL22/CENPX/RIOK3/ARID2/KIF14/KNSTRN/HJURP/TPX2/MSH5/CCNE1/RACGAP1/INCENP/DYNC1LI1/ZCWPW1/NUP37/FANCD2/TLK2/IK/SMARCB1/PRAP1/NEK2/BIRC5/SLC25A5/ACTB/KIF2C/NCAPG2/ANAPC2/POLDIP2/TUBGCP6/C9orf78/AAAS/MEIOB/MKI67/CCDC69/ABRAXAS1/ZW10/ESPL1/FLNA/CENPF/TACC3/CHMP4B/BEX4/KLHDC8B/RNF4/PBRM1/CEP97/RMI2/NDC80/BUB3/RRS1/CIAO2A/CSNK1D/FMN2/PLSCR1/GOLGA8A/SPC25/NDC1/TOP3A/CHMP4C/INO80/GOLGA8B/SEH1L/NUP62/SMARCD3/TOP3B/CENPU/NR3C1/NIPBL/ACTR3/BCL7B/HSPA1A/MIS18A/SMARCAD1/DPF2/SUN1/ARID1B/UBE2I/GEN1",127
"GO:0072594","GO:0072594","establishment of protein localization to organelle","133/3292","459/18870",4.82061938319981e-10,6.02673835287641e-07,4.93225477944234e-07,"PRICKLE1/MAPT/TOMM6/TERF1/RAN/PEX10/MDFIC/CDKN1A/EIF4ENIF1/CLU/ZFAND2A/MACROH2A1/MON1B/CCT3/PITRM1/SREBF2/TXNIP/IPO4/MAVS/SORT1/HK2/ABLIM3/UBE2L3/DNLZ/KPNA4/NMT1/KPNA2/LEPROT/LMNA/HSPD1/TOMM22/HGS/MAIP1/CACNG8/BCAP31/KPNB1/TOMM40/TNPO1/PINK1/RGPD5/PML/HSP90AA1/NUP88/NOTCH1/CCT5/BAG3/IPO11/DNAJA1/VPS25/SNUPN/RAB3GAP1/TIMM50/TIMM21/MAN1A1/TOMM34/NEURL3/CRY2/PKIA/FIS1/NUP214/BAP1/PEX19/PEX3/MOAP1/SH3GLB1/ZPR1/HACL1/NUP188/TIMM8B/POM121/CCT6A/NUP107/TRIM28/RBM22/RANBP17/LAPTM5/SCARB2/PEX16/JUP/NCOA4/AKT1/SAMM50/HSPA8/IRGM/TIMM13/SEC61A2/RUVBL2/GET3/FERMT1/SAE1/PIK3R1/CCT7/AP3M1/PEX1/MFN2/FLNA/HK1/SRP14/CHMP4B/DKC1/SRP68/DMAP1/TNPO3/PHB2/LMAN1/PTPN23/SMURF1/NFKBIA/TIMM22/CBL/PEX5/SEC61A1/MTX1/TIMM44/CSE1L/PEX14/IPO5/TSPAN10/PEX26/NUP62/PDCD5/TIMM23/NUP93/LRRK2/JAK2/NIPBL/NAGPA/FBXO7/SRP72/IPO8/CCT2/POM121C/SEC13",133
"GO:0006403","GO:0006403","RNA localization","70/3292","197/18870",7.72628877700171e-10,8.04950519083961e-07,6.5876777993383e-07,"KIF5C/TERF1/RAN/RBM8A/HNRNPA1/ALYREF/HNRNPA2B1/CCT3/ZNF385A/RAE1/IGF2BP2/UPF1/IGF2BP1/CPSF6/EXOSC10/NHP2/KPNB1/MX2/NUP88/SMG5/DDX39A/CCT5/MVP/SNUPN/PABPN1/NOL6/KHDRBS1/SRSF3/PNPT1/NUP214/PRPF6/MAGOH/MCM3AP/NUP188/POM121/CCT6A/NUP107/NUP210/RANBP17/YBX1/NUP37/SLBP/AAAS/RUVBL2/POLDIP3/CCT7/MAGOHB/DKC1/RUVBL1/FYTTD1/GLE1/NRDE2/NDC1/ENY2/PARP11/SIDT2/PEG10/PIH1D1/CETN2/SEH1L/ZFP36L1/NUP62/KHSRP/NUP93/ALKBH5/UPF3A/ZC3H3/CCT2/POM121C/SEC13",70
"GO:0033044","GO:0033044","regulation of chromosome organization","82/3292","247/18870",1.2603045682943e-09,1.12545197948681e-06,9.21064692016583e-07,"CCNB1/CDC20/CDCA8/PLK1/BUB1/MAPT/TERF1/DUSP1/HNRNPA1/UBE2C/SMARCD1/HNRNPA2B1/MACROH2A1/CCT3/MCRS1/ANAPC1/PIF1/KAT5/ANAPC7/MAD1L1/NAT10/UPF1/EXOSC10/NBN/PML/SMG5/CCT5/ATRX/HNRNPD/HNRNPC/DLGAP5/ARID1A/KLHL22/ARID2/INCENP/CCT6A/DYNC1LI1/ACTR8/TRIM28/IK/SMARCB1/PRAP1/NEK2/BIRC5/ACTB/XRCC5/RTEL1/NCAPG2/GNL3L/ANAPC2/RUVBL2/CCT7/ZW10/ESPL1/CENPF/TACC3/PNKP/DKC1/RNF4/SUB1/PBRM1/RUVBL1/RMI2/INO80E/NDC80/BUB3/TEN1/SPC25/INO80/DDX11/INO80D/INO80B/SMARCD3/GNL3/TFPT/MPHOSPH8/BCL7B/DPF2/CTNNB1/ARID1B/CCT2/GEN1",82
"GO:0034504","GO:0034504","protein localization to nucleus","97/3292","310/18870",1.48249428364868e-09,1.15838397088598e-06,9.48016081385864e-07,"MEPCE/HDGF/COL1A1/PLK1/NGFR/PRICKLE1/RAN/SUMO3/MDFIC/CDKN1A/LMNB1/EIF4ENIF1/CCT3/DTX3L/MCRS1/YWHAZ/LAMTOR5/TXNIP/IPO4/MAVS/LZTS2/KPNA4/WWTR1/KPNA2/SKP1/MTOR/LMNA/TESK1/YAP1/KPNB1/TNPO1/RGPD5/GLUL/PML/HSP90AA1/NUP88/NOTCH1/EIF2AK3/CCT5/PARP9/CHCHD10/BAG3/CREBBP/IPO11/GBP2/SNUPN/CARD10/CRY2/PKIA/NUP214/NOL8/ZPR1/NUP188/POM121/TRIM8/CCT6A/LATS2/NUP107/TRIM28/RBM22/RANBP17/ATP13A2/POLR1A/FYN/JUP/AKT1/WRN/TAF8/FERMT1/PIK3R1/CCT7/CALR/FLNA/TMEM147/DKC1/CACNB4/DMAP1/TNPO3/TXN/RRS1/PHB2/TOR1B/NFKBIA/PLRG1/CSE1L/IPO5/LMNB2/NUP62/NUP93/LRRK2/JAK2/IPO8/LARP7/SUN1/CCT2/POM121C/SEC13",97
"GO:0051656","GO:0051656","establishment of organelle localization","133/3292","469/18870",2.20792144667883e-09,1.53352410702104e-06,1.25502903284902e-06,"CCNB1/LAT2/MAP2/EXOC7/KIF5C/CDCA8/PLK1/GJA1/SPAG5/MAPT/PTGDS/TERF1/RAN/PMF1/LYN/LMNB1/TUBA1A/AP1M2/MYO6/EIF6/YWHAZ/FAM83D/LAT/RCC2/SDC4/SIRT2/KIF22/KAT5/DYNC1I1/MAD1L1/RAB11B/PSRC1/PEF1/CHMP3/LMNA/TESK1/ARFGAP2/HGS/TMEM201/STXBP1/KPNB1/NSFL1C/TRAPPC2L/S100A13/AGTPBP1/CHMP6/PINK1/CLMN/NUP88/CFL1/CDR2L/NHERF1/NUDC/NECTIN2/RAB17/MAPRE1/NUSAP1/UBB/LIN7A/EXOC3/KIF3A/FEZ1/SAPCD2/KIF14/MAP4K2/KNSTRN/BICDL1/SYNE2/RACGAP1/INCENP/WDR11/NTN1/SAR1B/ATP13A2/ARMCX3/PDCD6IP/TRAPPC13/NEK2/BIRC5/KIF2C/EXOC4/HSBP1/GPR143/ARHGAP21/AP3M1/MYO1F/ABRAXAS1/ZW10/ESPL1/CENPF/NOP9/TRAPPC10/CHMP4B/DLG1/EZR/LTV1/FHOD1/ABCE1/NDC80/BUB3/RRS1/TRAPPC8/CSNK1D/BLOC1S2/FMN2/YKT6/OPA1/STARD3NL/SPIRE1/SPC25/CBL/CHMP4C/LLGL2/RAB27A/UXT/SYNE3/PEX14/SEH1L/UCHL1/LMNB2/BORCS8/NUP62/UNC13D/SLC2A4/COPS5/LRRK2/FER/RAB6A/SPRY2/DOCK7/CTNNB1/SUN1/CENPA",133
"GO:0062197","GO:0062197","cellular response to chemical stress","98/3292","317/18870",2.48583133494736e-09,1.55389316747559e-06,1.27169897766781e-06,"H19/CAV1/AKR1B1/SOD2/MAPT/ANKRD2/SPHK1/PEX10/AIFM2/MAPKAP1/IL6/MET/FBLN5/RBX1/HMOX1/EGFR/HM13/GPR37L1/SIRT2/SLC25A23/BRF2/ABCC1/SOD1/DHRS2/SIRPA/RIPK1/MTOR/RPTOR/ARL6IP5/STAT6/PINK1/ERMP1/PRDX2/EIF2AK3/TRIM21/FAS/KEAP1/DNAJA1/CYP1B1/ADPRS/XRCC6/EFHD1/MAPK7/PPIA/SRXN1/PNPT1/MGST1/PRKAA2/STX4/MPV17L2/ATP13A2/FANCD2/G6PD/FYN/ARNT/XRCC5/AKT1/PRDX3/PPARGC1B/RHOB/SOD3/MAP2K4/PXN/MYB/SLC1A1/MMP3/SERPINB6/PYCR1/AXL/TXN/MGAT3/ERN1/PNPLA8/ATP7A/ZNF277/GPX8/LRRC8E/PPIF/PEX5/GPR37/MAPK13/PEX14/PAWR/ZFP36L1/NLRP3/AGAP3/ATP2A2/VRK2/PLEC/SLC2A4/DHFR/LRRK2/FER/HSPA1A/SCN2A/ZNF580/MSRA/BDKRB2",98
