"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000502","GO:0000502","proteasome complex","47/3443","60/19886",5.87093041964176e-25,4.35035944095454e-22,3.151762646334e-22,"PSMB2/PSMB7/PSMB6/ECPAS/VCP/PSMC1/PSMD11/PSMC6/PRICKLE1/PSMC4/PSMA7/PSMD14/PSMD3/PSMC5/PSMD2/PSMB5/PSMB10/PSMC3/PSMB3/ZFAND2A/PSMD13/PSMD1/PSMA5/PSMD12/PSMA1/ADRM1/PSMB4/PSMC2/PSMA2/PSMA6/TXNL1/PSMB8/PSMD8/PSME2/PSMD7/PSMB1/PSMD10/USP14/PSMF1/PSMD6/UBE3C/PAAF1/PSMA4/UBQLN1/PSMA3/PSMD5/PSMD4",47
"GO:1905369","GO:1905369","endopeptidase complex","51/3443","84/19886",6.10221636221996e-19,2.2608711622025e-16,1.63796333933273e-16,"PSMB2/PSMB7/PSMB6/ECPAS/VCP/PSMC1/PSMD11/PSMC6/PRICKLE1/PSMC4/PSMA7/PSMD14/PSMD3/PSMC5/PSMD2/PSMB5/PSMB10/PSMC3/PSMB3/ZFAND2A/PSMD13/PSMD1/PSMA5/CAPNS1/PSMD12/PSMA1/ADRM1/CAPN2/PSMB4/PSMC2/PSMA2/PSMA6/TXNL1/PSMB8/PSMD8/PSME2/PSMD7/PSMB1/PSMD10/USP14/PSMF1/PSMD6/PIGT/UBE3C/PAAF1/PSMA4/PIGU/UBQLN1/PSMA3/PSMD5/PSMD4",51
"GO:0030055","GO:0030055","cell-substrate junction","147/3443","431/19886",1.36507837651285e-17,3.37174358998675e-15,2.44277183165458e-15,"LRP1/EPPK1/CAV1/CNN1/MRC2/TNS2/FLII/LIMA1/GJA1/GSN/PFN1/NRP1/PDLIM1/RRAS/ANXA6/CD44/TGFB1I1/HMGA1/LAYN/FHL1/CD9/MCAM/ICAM1/AHNAK/ASAP3/L1CAM/PARVA/YWHAZ/SLC4A2/RAB21/AKAP12/EGFR/MDC1/SDC4/NEXN/MSN/PTK7/ITGB4/ZYX/ARMC5/CORO1B/VIM/PDGFRB/LAP3/ITGB6/CSRP2/THSD1/CAPN2/CAV2/NCSTN/SHROOM4/YWHAB/CORO1C/ITGB5/ADAM17/TNC/KIF23/CD59/CFL1/SORBS3/FBLIM1/IGF2R/EPB41L5/NECTIN2/ATP6V0A2/MAPRE1/LASP1/AFAP1/PPIA/MAP4K4/PDLIM7/ITGAV/NEDD9/PROCR/ALCAM/BCAR3/TGM2/PAK4/SYNE2/FLRT3/LIMS2/TPM4/AJUBA/EVL/ENG/PDCD6IP/BCAR1/SCARB2/TRIP6/CIB2/ACTB/JUP/BSG/DIXDC1/FHL2/NCKAP1/CNN2/HSPA8/FERMT1/SORBS1/RHOB/CALR/ITGA2B/FLNA/CD99/ITGA1/ITGA5/DAG1/PXN/EZR/EHD3/PALLD/ARPC5/SRP68/NPHS1/TSPAN4/HMCN1/DMD/LMO7/ARF1/CD81/FGFR3/ACTG1/CBL/CSPG4/ARPC3/CYFIP1/FLNC/ADD1/ABCB4/VASP/EPB41L2/B2M/SNTB1/SLC9A5/PLEC/LCP1/JAK2/ACTR3/FBLN7/ARHGAP26/HSPA1A/DOCK7/THY1/ACTN1/CTNNB1/TLE2",147
"GO:0005925","GO:0005925","focal adhesion","143/3443","421/19886",5.66709097540468e-17,1.04982860319372e-14,7.60583262488523e-15,"LRP1/CAV1/CNN1/MRC2/TNS2/FLII/LIMA1/GJA1/GSN/PFN1/NRP1/PDLIM1/RRAS/ANXA6/CD44/TGFB1I1/HMGA1/LAYN/FHL1/CD9/MCAM/ICAM1/AHNAK/ASAP3/L1CAM/PARVA/YWHAZ/SLC4A2/RAB21/AKAP12/EGFR/MDC1/SDC4/NEXN/MSN/PTK7/ITGB4/ZYX/ARMC5/CORO1B/VIM/PDGFRB/LAP3/ITGB6/CSRP2/THSD1/CAPN2/CAV2/NCSTN/SHROOM4/YWHAB/CORO1C/ITGB5/ADAM17/TNC/KIF23/CD59/CFL1/SORBS3/FBLIM1/IGF2R/EPB41L5/NECTIN2/ATP6V0A2/MAPRE1/LASP1/AFAP1/PPIA/MAP4K4/PDLIM7/ITGAV/NEDD9/PROCR/ALCAM/BCAR3/TGM2/PAK4/SYNE2/FLRT3/LIMS2/TPM4/AJUBA/EVL/ENG/PDCD6IP/BCAR1/SCARB2/TRIP6/ACTB/JUP/BSG/DIXDC1/FHL2/NCKAP1/CNN2/HSPA8/FERMT1/SORBS1/RHOB/CALR/ITGA2B/FLNA/CD99/ITGA1/ITGA5/DAG1/PXN/EZR/EHD3/PALLD/ARPC5/SRP68/NPHS1/TSPAN4/LMO7/ARF1/CD81/FGFR3/ACTG1/CBL/CSPG4/ARPC3/CYFIP1/FLNC/ADD1/ABCB4/VASP/EPB41L2/B2M/SNTB1/SLC9A5/PLEC/LCP1/JAK2/ACTR3/FBLN7/ARHGAP26/HSPA1A/DOCK7/THY1/ACTN1/CTNNB1/TLE2",143
"GO:1905368","GO:1905368","peptidase complex","59/3443","120/19886",9.96533374508999e-16,1.47686246102234e-13,1.06996214947282e-13,"PSMB2/PSMB7/PSMB6/ECPAS/VCP/PSMC1/PSMD11/PSMC6/PRICKLE1/PSMC4/PSMA7/PSMD14/PSMD3/PSMC5/PSMD2/PSMB5/PSMB10/PSMC3/PSMB3/ZFAND2A/PSMD13/PSMD1/PSMA5/CAPNS1/PSMD12/PSMA1/ADRM1/CAPN2/PSMB4/PSMC2/TAF6L/PSMA2/PSMA6/TXNL1/PSMB8/PSMD8/PSME2/TADA2B/PSMD7/PSMB1/PSMD10/USP14/PSMF1/PSMD6/ATXN7/PIGT/SF3B3/TAF5L/UBE3C/PAAF1/PSMA4/PIGU/ENY2/UBQLN1/TAF9/PSMA3/PSMD5/TADA2A/PSMD4",59
"GO:1904813","GO:1904813","ficolin-1-rich granule lumen","57/3443","124/19886",1.22355755673882e-13,1.51109358257244e-11,1.09476202445052e-11,"TIMP2/PSMB7/VCP/LRG1/PSMD11/CTSH/PKM/ARSB/GSN/HSP90AB1/ALDOA/PSMD14/PSMD3/PSMD2/PSMC3/PSMD13/PSMA5/FTH1/HMGB1/IMPDH2/PSMD12/PDAP1/KPNB1/TNFAIP6/PSMC2/LTA4H/HSP90AA1/PYGL/CANT1/MVP/PSMA2/XRCC6/NME2/GNS/PPIA/PGM1/PSMD7/PSMB1/SERPINA1/CTSB/CAND1/JUP/HSPA8/PSMD6/GYG1/CDA/SRP14/ARPC5/COMMD9/CST3/DBNL/PFKL/GPI/CTSZ/HSPA1A/AMPD3/MIF",57
"GO:0005838","GO:0005838","proteasome regulatory particle","18/3443","19/19886",2.99459938728544e-13,3.16999735139788e-11,2.2966100564144e-11,"PSMC1/PSMD11/PSMC6/PSMC4/PSMD14/PSMD3/PSMC5/PSMD2/PSMC3/PSMD13/PSMD1/PSMD12/ADRM1/PSMC2/PSMD8/PSMD7/PSMD6/PSMD4",18
"GO:0022624","GO:0022624","proteasome accessory complex","20/3443","23/19886",5.79049676123237e-13,5.36344762509148e-11,3.88572808977435e-11,"PSMC1/PSMD11/PSMC6/PSMC4/PSMD14/PSMD3/PSMC5/PSMD2/PSMC3/PSMD13/PSMD1/PSMD12/ADRM1/PSMC2/PSMD8/PSME2/PSMD7/PSMD6/PSMD5/PSMD4",20
"GO:0005681","GO:0005681","spliceosomal complex","75/3443","205/19886",2.78486442674923e-11,2.29287171135687e-09,1.66114720192059e-09,"RBM3/HNRNPM/SF3A1/RBM8A/HNRNPA1/ALYREF/HNRNPA2B1/HNRNPA3/NCL/HNRNPH1/HNRNPH3/DHX38/TTF2/UPF1/YJU2/U2AF2/SNRPA1/RBM5/TSSC4/SNRPF/DDX41/HNRNPC/SNRPA/MFAP1/PRPF19/SNRPC/DHX16/SF3B4/DDX23/MTREX/PRPF6/PRPF31/MAGOH/RBM48/LSM5/CWF19L1/SNRNP40/XAB2/EFTUD2/RBM22/YBX1/IK/PPIH/RBM28/CCDC12/PRPF38A/HSPA8/C9orf78/TFIP11/SYNCRIP/CACTIN/LSM6/MAGOHB/ZMAT2/SF3B3/ZMAT5/ADAR/PHF5A/PPP1R8/LSM3/SNRPB2/SART1/RNPC3/BUD13/U2AF1/SNRNP200/AAR2/LSM7/PLRG1/PPIL1/ZNF830/HTATSF1/PRPF40B/CWC15/CIRBP",75
"GO:0101002","GO:0101002","ficolin-1-rich granule","69/3443","185/19886",6.31395038522454e-11,4.67863723545139e-09,3.38959441733107e-09,"TIMP2/PSMB7/VCP/LRG1/PSMD11/CTSH/PKM/ARSB/GSN/HSP90AB1/GAA/ALDOA/PSMD14/PSMD3/PSMD2/PSMC3/NBEAL2/PSMD13/PSMA5/FTH1/HMGB1/IMPDH2/PSMD12/SIRPA/PDAP1/KPNB1/TNFAIP6/PSMC2/LTA4H/ATP6V0A1/HSP90AA1/PYGL/CANT1/PRCP/MVP/PSMA2/DIAPH1/XRCC6/NME2/GNS/PPIA/PGM1/PSMD7/DYNC1LI1/PSMB1/SERPINA1/CTSB/CAND1/JUP/ATAD3B/HSPA8/PSMD6/GYG1/CDA/SRP14/ARPC5/COMMD9/SERPINB6/CST3/TMEM179B/DBNL/PFKL/GPI/ADAM8/CTSZ/HSPA1A/AMPD3/CD58/MIF",69
