"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008380","GO:0008380","RNA splicing","130/1840","478/18870",2.36014151879102e-28,1.32569149110492e-24,1.16441929458669e-24,"RBM3/AHNAK2/HNRNPM/SF3A1/RBM8A/HNRNPA1/RBM19/AHNAK/ALYREF/HNRNPA2B1/DCPS/HNRNPA3/PPP2R1A/WDR77/NCL/HNRNPL/HNRNPH1/RBM42/HNRNPH3/DHX38/TTF2/YJU2/FUS/PTBP1/U2AF2/SNRPA1/RBM5/TSSC4/SNRPF/CDK12/DDX39A/PUF60/TAF6L/DDX41/HNRNPC/SNRPA/MBNL1/PRPF19/SNRPC/DHX16/KHDRBS1/SRSF3/SF3B4/PRMT1/DDX23/RTCB/MTREX/RPS26/PRPF6/DYRK1A/PRPF31/MAGOH/RBM48/LSM5/PRDX6/SRSF6/CWF19L1/CD2BP2/TADA2B/ZPR1/SNRNP40/XAB2/SCAF1/PRMT5/EFTUD2/RBM22/YBX1/PPP2CA/PQBP1/IK/PPIH/RBM28/PRPF38A/HSPA8/C9orf78/TFIP11/POLR2A/SYNCRIP/CACTIN/LSM6/PIK3R1/CCAR2/ATXN7/MAGOHB/ZMAT2/SON/SF3B3/METTL3/TAF5L/VIRMA/PHF5A/RPUSD4/PPP1R8/LSM3/SRSF2/SNRPB2/NRDE2/SART1/BUD13/U2AF1/DDX1/SNRNP200/AAR2/RBM15/SFSWAP/ZC3H13/ENY2/LSM7/PUS1/TAF9/PLRG1/PPIL1/SCAF11/ZNF830/RBFOX2/KHSRP/HTATSF1/RSRC1/FAM98A/GEMIN5/RBM12/DDX20/CWC15/HSPA1A/CIRBP/PPP4R2/LARP7/SFPQ/COIL/RBM39",130
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","94/1840","336/18870",1.01007180008072e-21,2.12725642243548e-18,1.86847274757177e-18,"RBM3/HNRNPM/SF3A1/RBM8A/HNRNPA1/RBM19/ALYREF/HNRNPA2B1/DCPS/HNRNPA3/WDR77/NCL/HNRNPL/HNRNPH1/RBM42/HNRNPH3/DHX38/YJU2/PTBP1/U2AF2/SNRPA1/RBM5/TSSC4/SNRPF/DDX39A/PUF60/DDX41/HNRNPC/SNRPA/PRPF19/SNRPC/DHX16/KHDRBS1/SRSF3/SF3B4/DDX23/MTREX/PRPF6/DYRK1A/PRPF31/MAGOH/LSM5/PRDX6/SRSF6/CWF19L1/CD2BP2/SNRNP40/XAB2/PRMT5/EFTUD2/RBM22/PQBP1/IK/PPIH/PRPF38A/HSPA8/C9orf78/TFIP11/SYNCRIP/CACTIN/LSM6/MAGOHB/ZMAT2/SON/SF3B3/METTL3/PHF5A/LSM3/SRSF2/SNRPB2/SART1/BUD13/U2AF1/DDX1/SNRNP200/AAR2/RBM15/SFSWAP/LSM7/PLRG1/PPIL1/SCAF11/RBFOX2/KHSRP/HTATSF1/RSRC1/GEMIN5/DDX20/CWC15/CIRBP/LARP7/SFPQ/COIL/RBM39",94
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","93/1840","332/18870",1.51487016018194e-21,2.12725642243548e-18,1.86847274757177e-18,"RBM3/HNRNPM/SF3A1/RBM8A/HNRNPA1/RBM19/ALYREF/HNRNPA2B1/DCPS/HNRNPA3/WDR77/NCL/HNRNPL/HNRNPH1/RBM42/HNRNPH3/DHX38/YJU2/PTBP1/U2AF2/SNRPA1/RBM5/TSSC4/SNRPF/DDX39A/PUF60/DDX41/HNRNPC/SNRPA/PRPF19/SNRPC/DHX16/KHDRBS1/SRSF3/SF3B4/DDX23/MTREX/PRPF6/DYRK1A/PRPF31/MAGOH/LSM5/PRDX6/SRSF6/CWF19L1/CD2BP2/SNRNP40/XAB2/PRMT5/EFTUD2/RBM22/PQBP1/IK/PPIH/PRPF38A/HSPA8/C9orf78/TFIP11/SYNCRIP/CACTIN/LSM6/MAGOHB/ZMAT2/SON/SF3B3/METTL3/PHF5A/LSM3/SRSF2/SNRPB2/SART1/BUD13/U2AF1/DDX1/SNRNP200/AAR2/RBM15/SFSWAP/LSM7/PLRG1/PPIL1/SCAF11/RBFOX2/HTATSF1/RSRC1/GEMIN5/DDX20/CWC15/CIRBP/LARP7/SFPQ/COIL/RBM39",93
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","93/1840","332/18870",1.51487016018194e-21,2.12725642243548e-18,1.86847274757177e-18,"RBM3/HNRNPM/SF3A1/RBM8A/HNRNPA1/RBM19/ALYREF/HNRNPA2B1/DCPS/HNRNPA3/WDR77/NCL/HNRNPL/HNRNPH1/RBM42/HNRNPH3/DHX38/YJU2/PTBP1/U2AF2/SNRPA1/RBM5/TSSC4/SNRPF/DDX39A/PUF60/DDX41/HNRNPC/SNRPA/PRPF19/SNRPC/DHX16/KHDRBS1/SRSF3/SF3B4/DDX23/MTREX/PRPF6/DYRK1A/PRPF31/MAGOH/LSM5/PRDX6/SRSF6/CWF19L1/CD2BP2/SNRNP40/XAB2/PRMT5/EFTUD2/RBM22/PQBP1/IK/PPIH/PRPF38A/HSPA8/C9orf78/TFIP11/SYNCRIP/CACTIN/LSM6/MAGOHB/ZMAT2/SON/SF3B3/METTL3/PHF5A/LSM3/SRSF2/SNRPB2/SART1/BUD13/U2AF1/DDX1/SNRNP200/AAR2/RBM15/SFSWAP/LSM7/PLRG1/PPIL1/SCAF11/RBFOX2/HTATSF1/RSRC1/GEMIN5/DDX20/CWC15/CIRBP/LARP7/SFPQ/COIL/RBM39",93
"GO:0042254","GO:0042254","ribosome biogenesis","90/1840","325/18870",1.60250363620327e-20,1.80025258491075e-17,1.58124937744942e-17,"UTP20/RAN/DHX37/EBNA1BP2/MRTO4/EIF6/DDX56/MRPS7/RRP9/CUL4A/FASTKD2/NAT10/EIF5/EXOSC10/PWP1/NHP2/DROSHA/DNTTIP2/TSR1/WDR74/GLUL/NUP88/POP4/NIP7/GRWD1/PES1/NOC2L/ERAL1/NGDN/HEATR1/MRPL20/TRMT2B/MTG2/NOL6/RRP1/MTREX/EMG1/RPP30/PA2G4/NOL8/EXOSC3/BMS1/MPV17L2/BUD23/DDX10/RRP15/NOB1/RPS19BP1/XRCC5/TSR3/LAS1L/URB1/GNL3L/TBL3/LSM6/SURF6/USP16/LOC102724159/DDX18/MYBBP1A/NOP9/NSUN4/CINP/UTP18/SUV39H1/NSA2/DDX54/DKC1/LTV1/TSR2/ABCE1/KRR1/RRS1/DDX21/NUDT16/RPUSD4/NOL7/SART1/IMP4/PNO1/EIF1AX/WDR3/NOP16/NOP2/RNASEL/NOL9/DDX27/WDR18/ABT1/NOC4L",90
"GO:0034470","GO:0034470","ncRNA processing","104/1840","439/18870",4.40868855944304e-18,4.12726727306526e-15,3.62517952247535e-15,"UTP20/KARS1/DHX37/TYW3/EBNA1BP2/MRTO4/POP1/DUS3L/HNRNPA2B1/EIF6/DDX56/THADA/SPOUT1/RRP9/RIPK1/NAT10/EXOSC10/INTS10/PWP1/ELAC2/TRMT1/NHP2/DROSHA/THG1L/WDR6/TSR1/WDR74/POP4/PES1/AGO4/PRORP/TOE1/NGDN/HEATR1/TRMT2B/NOL6/RRP1/RPP21/SRSF3/PNPT1/INTS2/RTCB/MTREX/PLD6/EMG1/RPP30/WDR4/PA2G4/NOL8/EXOSC3/BMS1/TARBP2/BUD23/DDX10/RRP15/NOB1/TSR3/LAS1L/URB1/AKT1/TRMT61A/TBL3/LSM6/LOC102724159/DDX18/NOP9/NSUN4/UTP18/SUV39H1/TRMU/TRUB2/NSA2/DDX54/DKC1/TSR2/QTRT1/URM1/QTRT2/ADAR/METTL3/KRR1/HSD17B10/RRS1/DDX21/DUS1L/NUDT16/RPUSD4/SART1/IMP4/DDX1/METTL1/WDR3/PUS1/TSN/NOP2/RNASEL/NOL9/INTS14/FAM98A/DDX27/WDR18/ABT1/LARP7/NOC4L",104
"GO:0007059","GO:0007059","chromosome segregation","101/1840","424/18870",9.04213590629262e-18,7.25566819794937e-15,6.37300616432985e-15,"CCNB1/AURKA/CDC20/CDCA8/PLK1/BUB1/PRICKLE1/SPAG5/TERF1/RAN/PMF1/KIF4A/UBE2C/SMARCD1/TUBB/PPP2R1A/TLK1/TOP1/FAM83D/RCC2/ANAPC1/KIF22/KAT5/LZTS2/PTTG1/ANAPC7/MAD1L1/PSRC1/CHMP3/KPNB1/CHMP6/CCNB2/CENPT/KIF23/AGO4/CENPN/KIF18B/NUDC/DLGAP5/MAPRE1/ARID1A/ASPM/STAG1/CENPX/ARID2/KIF14/KNSTRN/HJURP/TPX2/RACGAP1/INCENP/DYNC1LI1/ZCWPW1/NUP37/FANCD2/TLK2/IK/SMARCB1/NEK2/BIRC5/SLC25A5/ACTB/KIF2C/NCAPG2/ANAPC2/POLDIP2/TUBGCP6/C9orf78/AAAS/MKI67/ZW10/ESPL1/FLNA/CENPF/TACC3/CHMP4B/PBRM1/CEP97/NDC80/BUB3/RRS1/CIAO2A/CSNK1D/PLSCR1/SPC25/NDC1/CHMP4C/INO80/SEH1L/TOP3B/NR3C1/NIPBL/ACTR3/BCL7B/HSPA1A/MIS18A/SMARCAD1/DPF2/ARID1B/UBE2I/GEN1",101
"GO:0033044","GO:0033044","regulation of chromosome organization","70/1840","247/18870",7.97767141792996e-17,5.60132254431407e-14,4.91991393892602e-14,"CCNB1/CDC20/CDCA8/PLK1/BUB1/TERF1/HNRNPA1/UBE2C/SMARCD1/HNRNPA2B1/MACROH2A1/CCT3/MCRS1/ANAPC1/PIF1/KAT5/ANAPC7/MAD1L1/NAT10/UPF1/EXOSC10/NBN/PML/SMG5/CCT5/HNRNPD/HNRNPC/DLGAP5/ARID1A/ARID2/INCENP/CCT6A/DYNC1LI1/ACTR8/TRIM28/IK/SMARCB1/NEK2/BIRC5/ACTB/XRCC5/RTEL1/NCAPG2/GNL3L/ANAPC2/RUVBL2/CCT7/ZW10/ESPL1/CENPF/TACC3/DKC1/SUB1/PBRM1/RUVBL1/INO80E/NDC80/BUB3/TEN1/SPC25/INO80/INO80D/INO80B/TFPT/BCL7B/DPF2/CTNNB1/ARID1B/CCT2/GEN1",70
"GO:0000819","GO:0000819","sister chromatid segregation","66/1840","225/18870",9.11158495570745e-17,5.68664141068986e-14,4.99485364764922e-14,"CCNB1/CDC20/CDCA8/PLK1/BUB1/PRICKLE1/SPAG5/RAN/KIF4A/UBE2C/SMARCD1/PPP2R1A/ANAPC1/KIF22/KAT5/ANAPC7/MAD1L1/PSRC1/CHMP3/KPNB1/CHMP6/KIF23/KIF18B/NUDC/DLGAP5/MAPRE1/ARID1A/STAG1/ARID2/KIF14/KNSTRN/TPX2/RACGAP1/INCENP/DYNC1LI1/IK/SMARCB1/NEK2/BIRC5/ACTB/KIF2C/NCAPG2/ANAPC2/POLDIP2/AAAS/ZW10/ESPL1/FLNA/CENPF/TACC3/CHMP4B/PBRM1/CEP97/NDC80/BUB3/RRS1/SPC25/CHMP4C/INO80/SEH1L/NIPBL/BCL7B/HSPA1A/DPF2/ARID1B/GEN1",66
"GO:0072594","GO:0072594","establishment of protein localization to organelle","104/1840","459/18870",1.21291187808783e-16,6.81292601921935e-14,5.98412418168175e-14,"PRICKLE1/TOMM6/TERF1/RAN/PEX10/MDFIC/EIF4ENIF1/ZFAND2A/MACROH2A1/MON1B/CCT3/PITRM1/IPO4/MAVS/HK2/UBE2L3/DNLZ/KPNA4/NMT1/KPNA2/LEPROT/LMNA/HSPD1/TOMM22/HGS/MAIP1/BCAP31/KPNB1/TOMM40/TNPO1/PML/HSP90AA1/NUP88/NOTCH1/CCT5/BAG3/IPO11/DNAJA1/VPS25/SNUPN/RAB3GAP1/TIMM50/TIMM21/TOMM34/CRY2/FIS1/NUP214/BAP1/PEX19/PEX3/SH3GLB1/ZPR1/HACL1/NUP188/TIMM8B/POM121/CCT6A/NUP107/TRIM28/RBM22/PEX16/NCOA4/AKT1/SAMM50/HSPA8/TIMM13/RUVBL2/GET3/FERMT1/PIK3R1/CCT7/AP3M1/MFN2/FLNA/SRP14/CHMP4B/DKC1/SRP68/DMAP1/TNPO3/PHB2/PTPN23/SMURF1/TIMM22/PEX5/SEC61A1/MTX1/TIMM44/CSE1L/PEX14/IPO5/PEX26/PDCD5/TIMM23/NUP93/LRRK2/NIPBL/NAGPA/FBXO7/SRP72/IPO8/CCT2/POM121C/SEC13",104
