"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","66/1453","321/18870",1.23120509418324e-13,3.18331963543509e-10,2.59703597708815e-10,"OLFML2A/TIE1/COL5A1/LRP1/APLP1/COL1A1/SPINT1/COL9A2/TNF/IL6/CTSV/MMP15/COL7A1/COL4A1/FBLN5/SERPINF2/CCN1/MMP17/ADAMTSL4/SPINT2/RECK/SH3PXD2B/TNFRSF1B/NID2/LOXL2/MMP11/COL18A1/ADAMTS13/COL14A1/COL4A2/FKBP10/EFEMP2/VWA1/PAPLN/COL4A5/MATN3/ELF3/HAS3/COL5A2/COL8A2/LOXL3/P4HA1/VHL/MATN2/COL27A1/GAS6/COL22A1/NDNF/LAMA1/ADAMTS6/FSCN1/COL9A3/GREM1/DAG1/NPHS1/HMCN1/LOXL4/ATP7A/ADAMTS10/ADAMTS12/MPZL3/HPN/ADAM8/LCP1/FBLN1/CSGALNACT1",66
"GO:0043062","GO:0043062","extracellular structure organization","66/1453","322/18870",1.4353089736368e-13,3.18331963543509e-10,2.59703597708815e-10,"OLFML2A/TIE1/COL5A1/LRP1/APLP1/COL1A1/SPINT1/COL9A2/TNF/IL6/CTSV/MMP15/COL7A1/COL4A1/FBLN5/SERPINF2/CCN1/MMP17/ADAMTSL4/SPINT2/RECK/SH3PXD2B/TNFRSF1B/NID2/LOXL2/MMP11/COL18A1/ADAMTS13/COL14A1/COL4A2/FKBP10/EFEMP2/VWA1/PAPLN/COL4A5/MATN3/ELF3/HAS3/COL5A2/COL8A2/LOXL3/P4HA1/VHL/MATN2/COL27A1/GAS6/COL22A1/NDNF/LAMA1/ADAMTS6/FSCN1/COL9A3/GREM1/DAG1/NPHS1/HMCN1/LOXL4/ATP7A/ADAMTS10/ADAMTS12/MPZL3/HPN/ADAM8/LCP1/FBLN1/CSGALNACT1",66
"GO:0045229","GO:0045229","external encapsulating structure organization","66/1453","323/18870",1.67191157323272e-13,3.18331963543509e-10,2.59703597708815e-10,"OLFML2A/TIE1/COL5A1/LRP1/APLP1/COL1A1/SPINT1/COL9A2/TNF/IL6/CTSV/MMP15/COL7A1/COL4A1/FBLN5/SERPINF2/CCN1/MMP17/ADAMTSL4/SPINT2/RECK/SH3PXD2B/TNFRSF1B/NID2/LOXL2/MMP11/COL18A1/ADAMTS13/COL14A1/COL4A2/FKBP10/EFEMP2/VWA1/PAPLN/COL4A5/MATN3/ELF3/HAS3/COL5A2/COL8A2/LOXL3/P4HA1/VHL/MATN2/COL27A1/GAS6/COL22A1/NDNF/LAMA1/ADAMTS6/FSCN1/COL9A3/GREM1/DAG1/NPHS1/HMCN1/LOXL4/ATP7A/ADAMTS10/ADAMTS12/MPZL3/HPN/ADAM8/LCP1/FBLN1/CSGALNACT1",66
"GO:0050808","GO:0050808","synapse organization","79/1453","483/18870",1.15782326886253e-10,1.6533716279357e-07,1.34886410822485e-07,"UNC13A/SEMA4D/RELN/MAPT/TNF/C1QL1/THBS2/ADGRL1/OGT/PTPRF/C5AR1/COL4A1/NLGN2/TUBA1A/LGMN/L1CAM/RAB29/SORT1/PTK7/ACTBL2/SLITRK5/APOE/NEGR1/F2R/LRRC4B/ELFN1/C3/TNC/PALM/COL4A5/CHCHD10/LZTS3/SEZ6L2/DLG4/RAB17/SRPX2/TIAM1/NEDD9/SLITRK3/VHL/GPM6A/CNKSR2/ICAM5/NTN1/POU4F1/SNAP25/GRID1/CX3CL1/FLRT3/SHANK3/FYN/POTEF/ACHE/EPHB2/SRCIN1/SDK1/RHOB/FARP1/CLSTN1/DLG1/DAG1/DIP2A/TANC1/CACNB4/SLC1A1/NRCAM/DNM3/OXTR/INSR/STK38L/CYFIP1/CHRDL1/PPFIA4/NTNG2/SLC8A2/FBXO45/FZD9/HMCN2/SEMA4A",79
"GO:0002685","GO:0002685","regulation of leukocyte migration","46/1453","230/18870",1.64608971351189e-09,1.88049288871599e-06,1.53415561299309e-06,"CCL20/PTAFR/SERPINE1/PADI2/TNF/DUSP1/LYN/CD9/IL6/ICAM1/C5AR1/LGMN/ZP3/S100A14/HMOX1/CHST2/CXCL8/TNFAIP6/ADAM17/CAMK1D/NEDD9/P2RX4/CXCL10/CORO1A/CX3CL1/SPN/GAS6/ADA/PGF/CALR/ITGA2B/CCL5/CD99/GREM1/ECM1/TNFRSF18/MTUS1/CD81/F2RL1/AKIRIN1/C5/CD74/ADAM8/THY1/ZNF580/CD47",46
"GO:0002687","GO:0002687","positive regulation of leukocyte migration","33/1453","149/18870",2.50184674799364e-08,2.38175810408995e-05,1.94310097427506e-05,"CCL20/PTAFR/SERPINE1/TNF/IL6/ICAM1/C5AR1/LGMN/ZP3/S100A14/CXCL8/ADAM17/CAMK1D/NEDD9/P2RX4/CXCL10/CORO1A/CX3CL1/SPN/GAS6/PGF/CALR/ITGA2B/CCL5/CD99/TNFRSF18/F2RL1/AKIRIN1/CD74/ADAM8/THY1/ZNF580/CD47",33
"GO:0010038","GO:0010038","response to metal ion","57/1453","359/18870",1.29850075769936e-07,0.000105957661828268,8.64430504411291e-05,"CACNA1G/TNNC1/SOD2/NPC1/MAPT/ASS1/TUBA1A/LGMN/HMOX1/EGFR/GDI1/TXNIP/SLC25A23/SLC40A1/LOXL2/ADAMTS13/CACNA1H/JUND/LTA4H/EIF2AK3/SERPINF1/DLG4/SYT1/KHK/AKR1C3/P2RX4/SYT12/ABAT/PRKAA2/CPNE7/ATP13A2/G6PD/BSG/UROS/SLC11A2/UCP2/CALR/SOD3/ADGRV1/CLIC4/CARF/P2RX7/SLC1A1/CD14/CYBRD1/CALM3/ATP7A/SYT8/RASA4/BMP6/COX1/CLDN1/IMPA2/B2M/PLCG2/PAM/RASGRP2",57
"GO:0042060","GO:0042060","wound healing","63/1453","423/18870",3.07370392234605e-07,0.000219462460055508,0.000179043253476657,"CLDN4/COL5A1/EPPK1/SERPINE1/LRG1/PLAT/ENTPD2/TNF/ANXA6/LYN/CD9/IL6/MCAM/CDKN1A/ACVRL1/SERPINF2/CCN1/VKORC1/ERBB3/SAA1/CADM4/TFPI2/F2RL2/HMOX1/SDC4/PTK7/ANXA8/AK3/APOE/F2R/ADAMTS13/ARHGAP35/STXBP1/FKBP10/ADAM17/PRDX2/PPL/PRCP/PLA2G4A/PROCR/DGKA/ADORA2A/CX3CL1/SERPINA1/SYTL4/GAS6/NDNF/EPHB2/MRTFA/ITGA5/DAG1/SCARB1/MYL9/TYRO3/LMAN1/F2RL1/RAB27A/CLDN1/MERTK/JAK2/PLCG2/NFATC1/FBLN1",63
"GO:0050920","GO:0050920","regulation of chemotaxis","40/1453","232/18870",1.16525889605661e-06,0.000668348301199963,0.000545256142085404,"SERPINE1/PADI2/SEMA3B/SEMA4D/FGFR1/DUSP1/LYN/IL6/C5AR1/SEMA6B/ADGRA2/SEMA3C/LGMN/S100A14/TUBB2B/PDGFRB/CXCL8/TNFAIP6/ADAM17/TIAM1/CAMK1D/NEDD9/P2RX4/CXCL10/ROBO1/GAS6/MEGF8/PGF/SEMA3G/CALR/CCL5/GREM1/MTUS1/F2RL1/AKIRIN1/C5/CD74/SEMA3A/ZNF580/SEMA4A",40
"GO:0031589","GO:0031589","cell-substrate adhesion","54/1453","356/18870",1.20109043747746e-06,0.000668348301199963,0.000545256142085404,"MSLN/SERPINE1/COL1A1/FAT2/RRAS/FBLN5/ACVRL1/CCN1/L1CAM/FBLN2/SDC4/CSPG5/ITGB4/NID2/THSD1/CCN2/ADAMTS13/BCAM/EFEMP2/COL26A1/EPB41L5/TIAM1/ITGAL/ITGAV/NEDD9/DOCK5/CORO1A/CX3CL1/GAS6/LIMS2/NDNF/JUP/SRCIN1/SORBS1/CALR/TMEM8B/ITGA2B/GREM1/ITGA1/ITGA5/DAG1/CAMSAP3/MSLNL/TYRO3/TTYH1/PREX1/ADAMTS12/UNC13D/MERTK/JAK2/SGCE/FBLN1/THY1/MYADM",54
