"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa03050","Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","38/1753","46/9561",4.0496572413741e-21,1.41333037723956e-18,1.17653199854658e-18,"5690/5695/5694/5700/5717/5706/5704/5688/10213/5709/5705/5708/5693/5699/5702/5691/5719/5707/5686/5718/5682/51371/11047/5692/5701/5683/5687/7979/5696/5714/5721/5713/5689/9491/9861/5685/5684/5710",38
"hsa05014","Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","118/1753","371/9561",1.27711039112154e-10,2.22855763250709e-08,1.85517088394498e-08,"10382/5690/5695/5694/7415/3800/10376/5700/5717/5216/5706/5704/10381/7124/7132/5688/3178/10213/84790/5709/5705/5708/84617/5693/5702/10189/7846/10383/3181/5691/203068/220988/5719/5707/5686/147700/347733/7133/5718/6647/7388/4704/5682/8480/11047/2475/2521/5692/10452/5701/65018/4927/9451/400916/4714/5683/515/5687/7979/4722/11258/6428/7277/201625/8021/79139/5714/23511/5713/7280/9883/5689/57122/23225/2906/79023/60/4705/125965/9861/55567/1340/3084/84516/1537/2081/2733/22926/5217/6391/5685/2902/71/440738/493869/55706/29979/4710/5630/146754/5603/4726/4512/29978/5684/81929/23636/9217/9688/10126/27019/514/5710/4696/7386/516/100101267/6396",118
"hsa05016","Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","100/1753","311/9561",1.80329540405866e-09,2.09783365338824e-07,1.74634923340418e-07,"10382/5690/5695/5694/3800/3092/10376/5700/5717/6648/5706/5332/5704/10381/5688/10213/84790/5709/5705/5708/84617/5693/84699/5702/7846/10383/5691/203068/3065/5719/5707/5686/147700/347733/5718/6647/7388/64764/4704/5682/2776/11047/2475/5692/5701/1387/5432/4714/5683/515/1742/5687/7979/4722/5435/11258/7277/201625/7052/5714/1173/5713/7280/5689/2893/292/163/7419/4705/125965/9861/1211/5430/55567/1340/10488/84516/1537/2081/6391/5685/2902/4899/493869/10105/4710/146754/4726/4512/5684/5439/5436/10126/27019/514/5710/4696/841/7386/516",100
"hsa05012","Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","89/1753","271/9561",4.53385426372219e-09,3.95578784509761e-07,3.29300993891401e-07,"10382/5690/5695/5694/3800/10376/5700/5717/5706/4137/5704/10381/1843/5688/10213/84790/5709/5705/5708/84617/5693/23516/5702/7846/10383/5691/203068/5719/5707/5686/147700/7332/347733/5718/6647/7388/4704/5682/11047/5692/5701/65018/9451/4714/9817/5683/515/5687/7979/4722/7314/7277/5714/135/5713/7280/5689/292/7419/4705/125965/9861/4891/7054/9927/55669/1340/808/1537/7295/2081/22926/2778/6391/5685/10105/7318/4710/2861/4726/4512/5684/7345/120892/514/5710/4696/7386/516",89
"hsa05020","Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","90/1753","278/9561",8.19884475316668e-09,5.72279363771035e-07,4.76396031973475e-07,"10382/5690/5695/857/5694/3800/10376/5700/5717/5706/5704/10381/7124/5688/10213/84790/3569/5709/5705/5708/84617/5693/84699/5702/7846/10383/5691/203068/5719/5707/5686/5621/147700/116444/347733/5718/6647/7388/64764/4704/5682/11047/5692/858/5701/4851/9451/4714/5683/515/5687/7979/4722/1958/7277/1388/5714/5713/7280/5689/2906/2534/292/7419/4705/125965/3312/9861/5295/6352/1340/10488/1537/6391/5685/2902/10105/4710/776/5603/4726/4512/5684/727/514/5710/3303/4696/7386/516",90
"hsa05017","Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","55/1753","144/9561",1.37242298213488e-08,7.98292701275121e-07,6.64541654507415e-07,"5690/5695/5694/489/5700/5717/5649/5706/5332/5704/5688/10213/5709/5705/5708/5693/5702/5691/5719/5707/5686/10524/116444/5718/5682/2776/11047/2475/7436/5692/5701/5683/5687/7979/5714/5713/5689/2906/292/7419/207/9861/5295/2081/5685/2902/4976/10105/5684/3748/56652/488/487/5710/208",55
"hsa05132","Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","80/1753","251/9561",1.18485567810198e-07,5.9073518808227e-06,4.91759649858865e-06,"10382/23265/3800/113146/10376/3326/5216/3606/6237/10381/7124/7132/84790/3569/79026/84617/7846/10383/203068/9265/9266/4646/147700/1780/347733/3840/2597/4615/1781/3654/8737/6500/338382/3576/3320/8677/302/197259/11258/10093/8795/9267/7277/653857/23207/7280/51143/5420/60/10787/65082/207/60412/388/5585/2316/7189/84516/6416/10092/29109/929/7295/10398/5217/375/71/4792/10094/23191/83439/5603/83547/1434/114548/10096/26999/208/841/1499",80
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","68/1753","205/9561",1.99004428742989e-07,8.6815682039129e-06,7.22700293856119e-06,"5700/5717/5706/5704/7124/960/4067/10213/3569/6891/5709/5705/3383/958/5708/1026/890/5702/4939/4938/3109/3065/5719/5707/57506/7431/894/5718/4615/3654/11047/8737/3108/5701/355/7979/3683/3627/3119/5714/898/5713/9612/10379/3123/3665/207/9861/6892/5295/811/7189/4940/6416/1870/3105/6890/3455/4792/5603/567/5710/5336/208/79685/965/841/3718",68
"hsa05010","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","108/1753","391/9561",2.68100479546941e-06,0.000103963408179869,8.65447162046265e-05,"10382/5690/4035/5695/5694/489/3800/10376/5700/5717/5706/5332/4137/5704/10381/7124/7132/10313/5688/10213/84790/3569/5709/5705/5708/84617/5693/23516/5702/7846/10383/5691/203068/5719/5707/5686/147700/347733/2597/5718/7388/4704/5682/348/2776/11047/824/2475/5692/23385/5701/6868/9451/355/4714/5683/1454/515/51107/5687/7979/4722/55851/7277/4893/5714/5713/7280/5689/7480/2906/8660/292/7419/4705/125965/207/9861/4891/5295/1340/808/3028/369/1537/2081/22926/6391/5685/2902/3643/10105/4710/776/4726/4512/5684/8326/488/487/514/5710/208/4696/841/7386/516/1499",108
"hsa03013","Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","40/1753","108/9561",3.16753564903923e-06,0.000110546994151469,9.20252462247187e-05,"5901/9939/6612/10189/79711/3840/3838/8480/5976/3837/3842/1917/4927/51194/10073/8021/55161/4116/84305/23511/9883/57122/23225/64901/79023/8086/55110/23534/2733/55706/1434/3843/81929/23636/9688/65110/10526/7329/100101267/6396",40
